"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",4,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",3,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",28,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",19,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",1233,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",935,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",495,,
"03","$1-$149 ($1-$7,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",667,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",214,,
"04","$150-$299 ($7,800-$15,599)","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",241,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",99,,
"05","$300-$399 ($15,600-$20,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",97,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",102,,
"06","$400-$499 ($20,800-$25,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",67,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",105,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",48,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",51,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",26,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",13,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40102","Adelaide Hills","2016","2016",12,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",5,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",3,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40103","Burnside","2016","2016",0,,
